Height,Timestamp,Size (bytes),Hash,Difficulty
195,2011-10-13 03:11:19,215,592745c2a18b107d4834ceafb2ad5fa8989e5e28e272f17a68d937ac8ddf7680,504365040
196,2011-10-13 03:11:25,215,c8aee4fb602465fa9bc852342e3bbe707c73f3f5f89454eb89c11dfbbce30445,504365040
197,2011-10-13 03:11:29,215,38378c5224d26609d8639a5e149a24feb3a468a535be73534b10dccb401216de,504365040
198,2011-10-13 03:11:30,215,a43dc25c3293042d69abe689bfd1a7c81b5c94fcbe92ceb0404c8fa18112152c,504365040
199,2011-10-13 03:11:35,215,ca492642630f979ed60fab5e6326c7531014d714b75df44665f96fedc4cfcd08,504365040
200,2011-10-13 03:11:38,215,f55f06879d3ddaca1e45d48257dc0d9b6eb4431dc5e01bb103c6439737d36606,504365040
201,2011-10-13 03:11:41,215,e41eb8de468a9b916d905e8b6a32dc02d880e20ded931538a023942bb77f2d0a,504365040
202,2011-10-13 03:11:46,215,5d6432ab08c8b3abdb5fe3f8cfe2d24485cf38014978ad39b78380c71aed1001,504365040
203,2011-10-13 03:11:47,215,dd70ef20df6f3fad350747f1f217ef43047cacfa8a3d12964a4011af4a89473f,504365040
204,2011-10-13 03:11:48,215,09f1e274a13f5ce5cca0ceeb7f923b3317f2a8308fb082cd1c66fc26e7d44a17,504365040
205,2011-10-13 03:11:50,215,5d392c99aff24f2c843463b768c29235e1bf81777cba86fd3ce5c6b21c83bfab,504365040
206,2011-10-13 03:11:52,215,7616dba70074e77572e1ef4b1bbe571051d7ea54f54d1f0ff95d0eebeb889b40,504365040
207,2011-10-13 03:11:56,215,84662d9b9c4dafbe7a75566f1a17b5250b0f8be1629e04cf81ea2605e3ad4c43,504365040
208,2011-10-13 03:11:58,215,c4fd71cc76c0a27d3e12e2cde66f41604be3a916fe4755d74d5f6a2e7465cdb6,504365040
209,2011-10-13 03:11:59,215,0ceffd058a3e7d518641fab91dd28c24a8d7e35fb9d9f6fb55d05322f12d0ee9,504365040
210,2011-10-13 03:12:04,215,59968067d5b76acd9bda337878f948d02b7ff29aad42fc4bdc9398643b8aba88,504365040
211,2011-10-13 03:12:07,215,b93c0ca2ee781632f1a1b82b2d9a88b1a6361667686398e279b9a55fed4323dc,504365040
212,2011-10-13 03:12:08,215,c58281b28fd98d3ceff4a6d16c4bed03f5818b8f01c6431f7a86844721d16e94,504365040
213,2011-10-13 03:12:12,215,703848b0a5e5037293e717bdd687c9b4d6004bde261783f0b901fda432f582c1,504365040
214,2011-10-13 03:12:13,215,be2ca87279ea10e6d7f6dfe958d77dcfd0a309260aa366e481e65c76303ee547,504365040
